center_id,hub_id,center_name,center_segment,center_plan_price
690,29,EAVAMI FIGOI ,FOOD,49.9
692,29,PIULIMGURAU CIRAICI ,FOOD,49.9
693,29,EURECA ,GOOD,29
695,5,PILAS SUCIS ,FOOD,49
697,21,ZIPU ,GOOD,29.9
700,21,CZALLA PUIMS ,GOOD,29.9
701,21,SMIRPIAMU ,GOOD,29.9
702,21,EUCI SGAM ,GOOD,
706,17,AR CIM ,GOOD,29.9
707,33,IUMPICA ,FOOD,
716,33,EA CUMUI ,FOOD,49.9
728,33,GUMOUA ,FOOD,49.9
735,33,IRIR OIS PUOUMIS ,FOOD,49.9
739,16,GIPUMZIGUM ,GOOD,29
745,3,IGUAI VUMURAMIRAI ,GOOD,
747,21,IRUZZI ,GOOD,29.9
748,27,LI PISMI GAIMOI ,FOOD,49.9
753,3,PF PIR FIVIR ,FOOD,0
754,13,GIPUMZIGUM ,GOOD,
762,26,CZALLA PUIMS ,GOOD,29.9
763,26,CISI PIUEUEMI ,GOOD,49.9
767,29,PASSIMA ,FOOD,49.9
771,27,MISQUAMZI DA USQUAMI ,FOOD,49.9
773,18,OU SALVI ,FOOD,49
780,29,GARIOLIS ,FOOD,
783,22,VUZPI ,FOOD,49
785,33,ARE TRAMUO ,FOOD,49.9
786,33,LU PUMAM RICIRIMS ,GOOD,49.9
787,33,PUGOIE ,FOOD,49.9
790,33,MZU SMUIG FICMIRO ,FOOD,49.9
791,8,PULGAIM SIOLLU ,FOOD,0
792,13,CIOLAMISM ,FOOD,0
801,20,CIMUAMI PUIMISURI ,FOOD,49
802,20,PIAMUARIS CIFO ,FOOD,49
804,18,MOIRI MPECILIMU PIR ,FOOD,49
806,27,IMLAIZA,GOOD,
807,29,ZIMRPI,GOOD,
808,28,ROICIPIP,GOOD,
809,25,GARPI ,GOOD,29.9
810,22,PIULIMGURAU ,FOOD,49
811,8,CISI DA PRUSI ,GOOD,0.01
824,26,RUMOU VUREU ,GOOD,29.9
828,20,MUI SZIP ,GOOD,
832,27,RUSURVI FLIRIA,GOOD,29.9
837,33,SMIR PIAMU ,GOOD,29
840,26,SIZMUO RICAUMS ,FOOD,49.9
845,13,RUA DA RIMU ,FOOD,
847,13,GIGIRUS ,GOOD,29
850,22,CIRIRIOU CIRIROI ,FOOD,49
859,20,CIRIRIOU CIRIROI ,FOOD,49.9
864,3,RIC IME CZASU ,FOOD,0.01
869,18,PILIOU RAS ,FOOD,49
870,18,CUSMUI ,FOOD,49
875,31,RIRURIMUA ,FOOD,49.9
876,26,IVIMAR ,GOOD,29.9
877,33,IVIMAR ,GOOD,29
879,28,RISIRA ,FOOD,49.9
882,35,RUGIRIMA ,FOOD,49
883,35,GIMA ,FOOD,49
886,35,RC OUMILEES ,FOOD,
894,35,MRIMUIRAI ,FOOD,49
902,8,MRIRI LIP ,GOOD,29
903,35,PILITAMZI ,FOOD,49
904,25,CAIRIR PIPO ,GOOD,29
911,28,RCOUMILES ,FOOD,0
912,3,MURPURI OUS GURAIS ,FOOD,49
913,27,PAMACIS ,GOOD,29.9
915,25,GRIME CRU ,GOOD,29.9
918,27,USIFLUS ,GOOD,
921,29,GRIME CRU ,GOOD,29.9
923,3,GRIME CRU ,GOOD,29.9
924,29,LIFM ,GOOD,29
931,31,GUMOUA E ISIM ,FOOD,49.9
933,31,SUPSIO ,FOOD,49.9
938,27,OIGIPUARO ,FOOD,49.9
941,27,GUMOUA ,FOOD,49.9
944,35,ZIMI ZUM ,FOOD,49
945,29,LUPI ,GOOD,29.9
946,29,USIFLUS ,GOOD,29.9
947,5,USMIMOI RS ,FOOD,49
948,27,RAMZI CISMURUARI RA SIPIMUARI ,GOOD,29.9
950,33,ISIM ,FOOD,49.9
951,33,GRIMEVASAIM ,GOOD,29.9
952,26,GRIMEVASAIM ,GOOD,29.9
953,26,GRIME CRU ,GOOD,29.9
955,51,CIRIROI U CAI ,FOOD,
960,33,GRIME CRU ,GOOD,29
961,21,PIGUE PIPACO ,FOOD,49.9
964,26,GRIME CRU ZAGAUMAPILAS ,GOOD,29.9
965,17,GRIME CRU ,GOOD,29.9
966,35,CIRIROI U CAI ,FOOD,49
967,28,GRIME CRU VALI MIVI CIMCUAMOI ,GOOD,29.9
968,28,GRIME CRU AMIARO CIRUSI  ,GOOD,29.9
975,36,IEPISMI ,FOOD,49
976,36,PAZZI ROIE MIPILAPACO ,FOOD,49
977,36,PRIMZURS RUSMIURIMA U PAZZIRAI ,FOOD,49
978,55,ZUPULAR MUC ,GOOD,29.9
983,35,LUPIMUIM ,FOOD,49
984,33,GIPUMZIGUM ,GOOD,
989,36,GRIME CRU ,GOOD,29
995,31,ROGLISS ICUSSARAIS ,GOOD,29
997,33,PIEURISI MAROI ,GOOD,29
998,20,TRAZ LOURA RIRMAM ,FOOD,49
999,35,LUCITA ,FOOD,49
1000,20,PAI RUMOU ,GOOD,49
1001,26,PEUIM GAMTRAM ,FOOD,49.9
1002,20,OIGIPUARO ,FOOD,49.9
1003,29,ZIVIMUI ,GOOD,29
1006,25,PUGUM ,GOOD,29.9
1008,29,PUGUM ,GOOD,29.9
1009,20,CIPIMI PURGUR ,FOOD,49.9
1010,16,CICIU SZIS ,GOOD,49
1014,31,OUMGA ,GOOD,29
1015,31,MUMRIFAM ,GOOD,29.9
1016,36,PIPS ,FOOD,49
1018,36,ICI EU SIVEMI ,FOOD,49
1019,20,CISI PIUEUEMI ,GOOD,49
1022,29,RIRIMI ,GOOD,29
1025,21,IMUI PUGIVI ,GOOD,29
1026,22,AIEMAMIMU IU PRUSEM,GOOD,29.9
1027,33,LIFM ,GOOD,
1029,55,UVURUSM ,GOOD,29.9
1034,18,GRIME CRU ,GOOD,29.9
1037,35,IUMPICA ,FOOD,
1041,26,GIPUMZIGUM ,GOOD,49.9
1042,36,FRUEOU ,FOOD,49
1044,36,ZIVIMUI ,GOOD,29
1056,16,RIOZ ,FOOD,49
1057,36,IUMPICA ,FOOD,
1061,33,SMIMCU ,GOOD,29
1064,8,GRIME CRU ,GOOD,49
1071,25,VIRIMOU ,GOOD,29.9
1076,20,SUMIR SIMMPE ,FOOD,49
1080,18,AIEMAMIMU IU PRUSEM,GOOD,29.9
1082,35,LIEMAMIMU IU PRUSEM,GOOD,29.9
1083,27,CISI PIUEUEMI ,GOOD,29.9
1084,28,CISI PIUEUEMI ,GOOD,29.9
1091,20,SALITO ,GOOD,29.9
1092,18,SALITO ,GOOD,29
1093,36,SALITO ,GOOD,29
1095,22,SALITO ,GOOD,29
1096,8,SALITO ,GOOD,29
1097,28,SALITO ,GOOD,29.9
1098,33,SALITO ,GOOD,29
1099,29,SALITO ,GOOD,29
1101,26,SALITO ,GOOD,29.9
1103,27,SALITO ,GOOD,29
1104,13,SALITO ,GOOD,
1105,25,SALITO ,GOOD,29
1106,21,SALITO ,GOOD,29
1107,21,SR SIGIRIMI ,FOOD,49
1114,35,RIMAI EU TRAPRISCI ,FOOD,49.9
1117,21,PIPULIRAI RIGMALAI ,GOOD,29
1118,35,PRISEMCICIU ,GOOD,29
1119,28,ISIM O RIRARIRA ,FOOD,
1120,27,GIPUMZIGUM ,GOOD,29
1121,20,PRISEMCICIU ,GOOD,29
1122,27,MPECILIMUS PRISEMCICIU ,GOOD,29
1123,8,SIRSUMG ,GOOD,
1125,36,PIZ RUSMIURIMA ,FOOD,49
1127,16,CIRIROI U CAI ,FOOD,49
1128,17,ZIVIMUI ,GOOD,29.9
1141,21,CISI RUVAVI ,GOOD,29
1143,3,GRORAI RIMAI ,GOOD,49
1146,33,MZU PIEO SZIP ,GOOD,29.9
1150,26,PASCIAMU ,FOOD,49.9
1152,8,CISI DA PILIP ,FOOD,29
1153,13,RIMAI EU TRAPRISCI ,FOOD,49
1154,27,ILRU ,GOOD,29.9
1157,27,CISI OUS CACIS ,GOOD,29
1160,3,MPECILIMRIS CAOUEU PIASI ,GOOD,49
1161,31,CZALLA PUIMS ,GOOD,
1162,13,SIU SIU EUSAGM ,GOOD,29
1163,33,PA PISACI ,GOOD,29
1164,26,GAIVIMUI PIPO ,GOOD,29
1165,17,USIFLUS ,GOOD,29
1166,33,RIGAC FAM ,GOOD,29
1167,31,SIMUI LIMOI ,GOOD,29
1175,31,LUVA S ,GOOD,
1187,33,IRUZZI ,GOOD,29
1199,31,CISI RUVAVI ,GOOD,29
1204,18,GRIME CRU ,GOOD,
1205,29,ZIPU ,GOOD,29
1208,16,RUSMIURIMA RIRIOU ,FOOD,49
1210,26,RIGU I CIGU ,FOOD,49
1213,21,AMACIS CIRIA,GOOD,29.9
1214,21,CRICS ,GOOD,29
1215,17,CRICS ,GOOD,29
1218,20,PALLO MZU GRALA,FOOD,49.9
1220,33,R RIRMIM ,GOOD,29
1224,31,SSIRIVSGA ,GOOD,
1230,27,MZU PIEO SZIP ,GOOD,29
1232,33,AMUARASSARA ,GOOD,
1233,3,PIUMCU CIRPIMO ,GOOD,29
1235,33,MIARO ZALFAGUR ,GOOD,29
1236,33,VACMIR ZUGI ,GOOD,29.9
1237,33,SIRLE MUMUAS ,GOOD,29.9
1238,33,ZURAMG GAES ,GOOD,29.9
1239,33,RULASSI ,GOOD,29.9
1242,35,IMICIPRA ,GOOD,29.9
1246,31,PUGUM ,GOOD,29
1247,25,PAGAES ,GOOD,29.9
1254,31,PUMAM MAMA ,GOOD,29
1259,26,PUGUM ,GOOD,29.9
1263,33,RAMASI ,GOOD,29
1271,21,IPIQA ,GOOD,
1272,20,PAPA CILMIOUS ,GOOD,29.9
1273,35,MRICA E FAULE ,GOOD,29.9
1274,28,MZU PIEO SZIP ,GOOD,29
1276,35,USIFLUS ,GOOD,29.9
1278,35,PAPA CILMIOUS ,GOOD,29.9
1279,8,PAPA CILMIOUS ,GOOD,29.9
1280,33,RIRIMI ,GOOD,29.9
1283,27,SSIRIVSGA ,GOOD,29
1288,31,STRAMZ ,GOOD,29
1290,26,SSIRIVSGA ,GOOD,29
1292,18,SIRSUMG ,GOOD,
1293,35,SIRSUMG ,GOOD,29
1300,29,OIGAMA ,GOOD,29
1303,13,LIMI EU FAMI PASU ,GOOD,
1304,25,OIGAMA ,GOOD,29
1307,8,GIMA ,FOOD,49.9
1314,27,OIGAMA ,GOOD,29
1317,31,USPIMI PRIMI ,GOOD,49
1318,33,PRIMIUVI,GOOD,29
1321,31,PUPALU GALA,FOOD,49
1324,3,PAZZI PIRPACO ,FOOD,
1325,31,EUCI SGAM ,GOOD,29.9
1330,31,R RIRMIM ,GOOD,
1332,20,SR MIPICIRAI ,GOOD,29
1333,20,SUMSARAI ,GOOD,29
1335,8,ILUIMIRO ,GOOD,29
1338,31,OIGPUARO ,FOOD,49.9
1344,31,CAI RIRAMARI ,GOOD,
1345,29,CAI RIRAMARI ,GOOD,29
1378,33,SSIRIVSGA ,GOOD,
1381,13,ILUIMIRO ,GOOD,
1383,13,UMALACISI ,GOOD,29
1395,21,IUMZUMUAC FAM ,GOOD,
1397,21,IRM SILG ,GOOD,29
1399,3,RUSU ,FOOD,0
1401,27,SUPUR GRALA,FOOD,49.9
1404,31,GAIVIMUI PIPO ,GOOD,29.9
1406,26,SUPUR GRALA,FOOD,49.9
1409,17,PAMACIS ,GOOD,29.9
1411,29,CIRACIOU ,GOOD,29.9
1412,29,ISZUI ,GOOD,29.9
1413,20,LUVAES ,GOOD,29
1415,8,LUVAES ,GOOD,29
1416,13,LUVAES ,GOOD,29
1419,8,PLIMUMIO ,GOOD,29.9
1428,8,SILAMIS ,GOOD,
1431,20,UMACAU ,GOOD,29
1432,33,LUPI ,GOOD,
1433,33,RIOPULLAMU ,GOOD,29.9
1435,8,USIFLUS ,GOOD,29.9
1437,20,EULIRUM ,GOOD,29.9
